component,oxalic acid,lactic acid,Alanine,glycine,alpha-hydroxyisobutyric acid,N-acetylglycine,acetic acid,beta-hydroxyisobutyric acid,Valine,2-aminobutyric acid,Urea,Leucine,Phosphoric acid,glycerin,isoleucine,Proline,Glyceric acid ester,Glyceric acid,isosuccinic acid,Fumarate,Serine,Threonine,Amino malonic acid,Pyroglutamic acid,"2,3,4-trihydroxybutyric acid",citrulline,glutamate,Phenylalanine,ribitol,Lysine,hypoxanthine,Ornithine,Citrate,"1,5-dehydrated sorbitol",fructose,galactose,glucose,Mannose,Tyrosine,allonic acid,alpha-D-galactose pyranose,9-hexadecenoic acid,Palmitic acid,Inositol,Uric Acid,tryptophan,linoleic acid,oleic acid,stearic acid,arachidonic acid,Palmitate glyceride,Glyceryl Monostearate,Cholesterol
n120,19949967.45,110490504,10238919,4180670,3005963.75,2947963.75,2483887.5,2163618.5,6407374.5,3818518.75,22738756.11,0,6915008.5,2441238,3000916.25,5618794.5,3411002.75,1022139.813,1814719.25,2040853.875,3157844.5,3827495.5,1721619.75,8124099.5,1728342.625,2906392,2698409.5,2857311.25,2468543.75,2611564.75,2649308,0,3287129.5,5380587.5,2324126.25,2370662.5,88840536,14999078,2350642.75,2017824.625,0,2532978.5,9170946,2056014.625,3637889.25,0,7168841,5262655,4761601.5,1765784.25,2790938,2519735,12139719
n121,18897673.58,102283080,10086428,3977740.5,2883686.75,2865186.75,2516223.5,2069080.75,6191635,3639986.75,12815020,3838080.5,5880062,0,2750352.25,4548963,887564.5625,3419911.25,1762305.125,1523651.25,3080947.75,4009576.75,3227747.5,6547700,1481891.25,2976906.5,3439874.75,2843858.5,2198727.25,3016839,2696724.25,3008912.75,0,5259520.5,2168855.25,2543732,134379824,24654360,2585391.5,2206064.5,1586211.25,0,9333065,2054204.625,3570240.25,6785634,0,4716517,5231254,2976631.5,2765197.5,2866945.5,18755752
n125,16089912,86018992,8370575,4405236,3411528,2866432,1713727.125,2367300.5,5938664.5,3577568.5,20900980,6911680,0,3084467.5,2672120,4361542,3150799.25,2780600.5,1664506.125,2111742.75,3169867.75,3856367.5,3330850.5,7199158,1657552.375,2662527.75,2567619.5,2802563.25,1653944.125,3033923,2446558.25,2500927.5,0,6296905.5,2360701,2682086,114397328,20241550,2529563,2108570,0,2420030,9489821,2032066.875,6001264,6718961,0,5822669,4677531.5,1828580.25,3024615.5,2002178.5,13916513
n135,5793010.5,108164616,7034214.5,5318162,2606312.75,2634517.75,1810285.75,1826749.75,4927253.5,3121591.75,6052071,7289308,0,2193537.25,2554942.5,4215147,1085609.75,3266671.5,1680474.625,2387331,3348378.5,3745288.5,1868689.75,7289687,2532478.25,2797382.75,2671339.25,2683128,3028689,3071529.5,2342668.75,2466765.75,0,4862309.5,2205492.75,2297776,103431480,18664932,2159914,1957297,0,2428414.5,8783047,1952231.875,3433864.5,0,6612673.5,6073774.5,4779219,2975979.25,2865005.75,0,9104228
n14,14894650,33692720,7208151,4896749,2748617,2794918.25,1913912,2126261,5616527,3569496.5,27026458.33,0,0,8478975,2695174.5,3347330.25,748279.9375,931205.6875,1738306.625,2164303.75,3854039,4628276,1414256.25,8572974,1602211.125,2643440.75,2056640.125,2956278.75,2753489,2560578,2491135,0,2870798.5,6039950.5,3085161,2573608,16112604.94,28269790,2503397.75,2568823.5,1387440.25,0,6910975,1943227.375,3961458.75,0,6024543.5,4022408.75,4252524.5,1810381.375,2418344,0,13398167
n145,17957723.29,123465016,8228135,5364122,3033197,2942298.5,2226676.75,2286161.5,4880470,3697413.5,24767116,0,6098793,2180600.75,2311469.25,3586494,3176659.75,1326395.125,2063725.875,1738619,3341905.5,3714689.25,1553250,7361699,1757119.75,2362919.25,2598722,2640532.25,3131828,2750265.5,2814719.5,0,2593359.25,6057402,2056276,2241716.5,72451480,12132461,1966946.625,1629679.625,0,2352320.5,7056707,2116103.25,3408847,0,5755259.5,4497366,4255226,2622673.25,2781860,0,12048306
n146,18383146.42,108960760,8515370,4784379,2778012,3009697.25,1834697.25,2117438.5,5681547.5,3851748.5,30383952,3083013.602,3705106.702,1864000.047,2704460.25,6165758,3508543.75,3240884.75,1765598.5,2230250,3427839.75,3886321,2275605.25,7353536.5,1551876.75,2787157,2880557,2662730.75,3306072.25,2589848.25,2396217.25,0,2914367,6179391,2364596.25,2515326,82418152,14204395,2387921,1739551.5,0,0,7112700,2024581.25,4425972.5,0,5864967,4386917.5,4454275.5,2649284.25,2699077.25,2993481.5,9722522
n151,18779950,129387824,7192865,5036337,3261511,3012257.75,2349015.5,2835104.75,6377667,3964700.5,19483040,3492814.75,7106347.5,0,2875616.75,3461800,3298650.75,2004838.5,1673204.625,1537406.5,3653098,4291077,2125748.25,8944844,1852157.375,2778922,2743771.25,2797702.5,3732641.75,3068502,2763785.5,3055755.25,0,7330387,1538759,2137786.5,61096436,10465253,2359727.25,2019263.5,0,2700478.25,12866565,2207844.25,4803626.5,0,8797019,9662510,5650442.5,2229407.25,2743447,2459873.5,9657095
n152,18117336,142857872,8769944,4731900,2744234.5,2770625.75,2704792.5,2077605.75,6528912,3667987,35338412,3711961.091,0,2850665.167,2933625.5,3542132.75,2821422.5,1577799,1987540.75,1964808.125,3217822.25,3729059.5,1874218.125,8231740,2079273.5,2887570,3054400,2911305.75,2757431,2835963.25,2486771,0,3066499.5,6013396,1851344.125,2341774,51199704,8830743,2458404.5,1910448.125,0,2409167.5,9690380,1995169,4316005.5,0,7948378,5535503,5409589.5,2171236.25,2897776.5,2691993.25,12408501
n154,18962501.73,78691744,7435229.5,4539388,2909803.5,2925475.25,2130712.5,2170580.75,5050533,3654937.5,22766760,7230059.5,2221146.75,0,2473805.25,3984321.25,164659.5313,1250010.875,1800192.5,1612573.125,3497331.75,4345956,1960959.875,8638158,1581414.25,2737379.25,2305150.25,3092393.75,3523626.5,2511267,0,3267591.5,0,7865107.5,2348088.5,2441387.75,114439496,20063940,2412833.25,2153974.25,0,0,7601593.5,2069513.75,3770088.5,0,6507212.5,4937820,4701813,2726528.75,2843630,2236276,4270071.5
n160,17413862.22,75598552,5608213,4673295,2819919,2879494.75,1735224.875,4818399,5253935,3585633.5,37833927.89,3408585.5,6577321,0,2632643.5,3611791.75,3241375,1421717.875,1690026.875,1732749.75,3313734.5,3804966.5,3459469.25,8698189,1859358.125,2588342.25,2706934.5,2522099.25,1802534.25,2646538.5,2924469.5,2710232.75,0,4592858,2292846,2384537,78834968,13581038,2704608.5,1708250.5,1749274.625,2603482.5,6129589,2214685.75,4157906.75,2016077.625,7363222,9776244,5402765.5,2920157.5,2901077.5,1992864.875,9415438
n162,15758130.4,85755120,8341647.5,3761652,3084752.75,2704999.25,2140706.5,3048038.5,6365332,3425195.5,74364.71094,4077329.25,6985055.5,0,3024071.75,4020313.25,984853.875,1239982.875,1990416.25,1869825.625,2597320.75,3170666,3431749.25,6532060,2606657,2567818,3349813,2328157.25,2587535.25,2240175.25,1740261,3121772,0,3258371,2271925.75,2837585.75,146103600,28079260,2298093,2292437.25,1816938,2561088.25,12288125,1976160.75,4992483.5,4457776,0,8382076,5524009.5,2928202.75,3159381.25,1596891.125,12987618
