component,oxalic acid,lactic acid,Alanine,glycine,alpha-hydroxyisobutyric acid,N-acetylglycine,acetic acid,beta-hydroxyisobutyric acid,Valine,2-aminobutyric acid,Urea,Leucine,Phosphoric acid,glycerin,isoleucine,Proline,Glyceric acid ester,Glyceric acid,isosuccinic acid,Fumarate,Serine,Threonine,Amino malonic acid,Pyroglutamic acid,"2,3,4-trihydroxybutyric acid",citrulline,glutamate,Phenylalanine,ribitol,Lysine,hypoxanthine,Ornithine,Citrate,"1,5-dehydrated sorbitol",fructose,galactose,glucose,Mannose,Tyrosine,allonic acid,alpha-D-galactose pyranose,9-hexadecenoic acid,Palmitic acid,Inositol,Uric Acid,tryptophan,linoleic acid,oleic acid,stearic acid,arachidonic acid,Palmitate glyceride,Glyceryl Monostearate,Cholesterol
n34,15899669.62,55535128.02,7626484,4327203,2553566.75,2773266,2010689.125,2150175.25,4329769.5,3488334,9039286,0,4123488.75,3698051.5,2133727.5,4197859,3278758.5,2295235.5,1996224.75,1579440.875,2869623,3423149.25,1973313.75,7120549,1705989.75,2215453.25,2095489.375,2128514.5,2481534,2243146.75,427725.5313,0,2795575.5,5536856,1706077.75,2377309,124006824,22260518,1929795.75,2172572,1555627,2734585.75,8764749,1960972.875,2788411.75,2133596,4680961.5,6145516,4651618.5,2907974.25,2303283,0,10386427
n49,15658096.78,83467248,7653610.5,4710170,2968905.75,2818935,2036042.875,2271227.25,6325043,3876189.5,29513662,3715626.5,0,5442380,2702379.25,3520672.5,3028639.75,1066057.625,1706117,2359346.5,3017747.25,4390919,1895795.5,8302180.5,1814051.625,2671336.5,2628856.25,2830008,2323052.75,2844719.75,2608936,0,2644052.5,5382699,2495530,2422009.75,94521008,16427707,2501494.25,1960111.375,0,2604792.5,8648158,1961232.75,3579899,0,6212937,5798005,5069909,2737125,2812089.5,2092280.625,10734614
n50,15293876.54,85013224,8390004,5898734.5,2776385,2811950.75,1886000.875,2270410.25,6309325,3444380,23847423.59,0,6792372.165,3921943.031,2890351.75,4141211.25,3068320.25,2482762.75,1804719.875,2316689.25,3204149.75,3728698,1219969,5955697.5,1081092.25,2648441.75,2788094.75,2891433,2706589.25,2664368,2510503,0,2642116,5244173,2737484,2349673.5,87167184,15282308,2363495,1877850.875,0,2554998.5,8735758,1805380.625,4723690.5,0,7009542,6850162,5186417,2719710.5,3019933.5,0,15840830
n54,14781250,93785488,7753797,3988275.75,3085269.5,2852620.5,2052403,2156645.5,5458083,3386019,16030130,0,3522705.75,5356452,2800258.5,4235579,34220.82422,2609632.25,2081651.5,2033579.75,3148047.25,3366595.25,1893693.25,7036479.5,1958403.25,2313445.5,2557531.25,2513455,2099884.75,2632410,0,0,2484543.5,5597088.5,2391414,2705355.5,80540408,14031688,2421669.75,1348348.625,0,2471272,7057972,1943176,5283148.5,0,6309768,5928715,4196862.5,2724838.25,2678725.75,0,14431138
n55,14110120,73342112,5184583,4038375,2883472.75,2812321.25,2066388.375,2878005.25,5394616,3462274,13192298,3107062.5,0,5462312.5,2484944,3204577,89610.125,2933944.25,1813512.375,2233797,3182075.75,4034423.5,1929507.75,4451513.5,1780636.875,2576972,2518339.25,2597354.75,2020524.375,2704401.25,0,0,2689343.25,4649784,2421202.5,2493619.5,93185432,16038821,2291742,2017241.125,2078487.625,2521162.75,8086841,2032146.25,3340191,0,6617707,7189820.5,4322067,2885391,2710726.5,0,12713635
n6,16414819.45,99212976,8842736,4349278.5,2658468,2852843.25,1963366.5,1723774.25,5981667.5,3657893.5,26237582,3388993.084,3486933.646,2778256.159,2631590.25,4429563,2839368,1253960.875,1992223.25,1649252,3473965,4096374.25,1234446.375,7298337.5,1796800.125,2249752,2457670,2588714.25,2149650,2345666.5,2173977.25,0,3138792.75,7359649.5,2232114.75,2046522.25,67906240,11114680,2348498.5,1857099.75,0,0,6461648.5,1900100.75,4203263,0,5551467,4125759.5,4020340.25,3091524.5,2808923.75,0,13887240
n64,17714418.94,85055072,7664441.5,4348045,3067153.5,2839562.5,1970819,2387698,5243754,3661459.5,5389422,0,6500743.5,2806513,2303714.5,4018746,2094728.375,1509899.375,1753514.75,1903479.875,3009258.75,3539812,1995000.75,7448304,1905426.75,2704291,2745847.5,2612721.25,1815245.375,3102527.75,0,0,2622580.25,9096666,2182618,2410218.25,93169744,15880634,2089382.875,2025961.875,0,2600008,9706530,2022154.875,3808722,0,8114225,6660440,5242268,2866667.25,3200149.5,2411996.25,13293445
n67,5947088,102694400,6967472,5048348.5,2578690.75,2930170,2054771.25,2214529.5,4849555,3505194,11826811,3242320.75,0,5961116.5,2347763.75,2831960.5,1020683.875,1142236.625,1713024.5,2441412,3219295.5,4016406,1481999.125,7234862.5,1782261,2666408.75,2446068.5,2608747.5,1678111,2850299.25,2825664,3274882.75,0,7296276,2214395,2555998.5,85610616,14430043,2310316.25,1891194.5,0,2629887.75,8438596,2149095,2847463.75,4351021,0,6377858,4275780.5,2657257.5,2564772.75,0,11391653
n72,13839688,114854824,9305776,4255557.5,2772639,2797298,2004065.625,2030073.125,5970728,2796017,33127866,2931589.213,2903989.31,3112170.266,2770976,4017557.75,3201549.75,2584834,1787386.5,2210929.5,3276953.25,3739308,1996648.75,7917594.5,1578545.25,2521137,2526218.5,2418644,2240047.5,2245844.5,2676799,0,2974323.25,5479042.5,2401048.25,2336020.75,89908656,15341677,2371166.75,1888223.125,0,2611742.25,7430531,1891664.25,2798696.75,0,5840658,4982380,4146643,2916352.75,2787538,2594930.75,11889548
n74,6006031,88305176,7627162.5,4390110,2756185.5,2807203,1960924.5,1974274.875,5522673,3620978,38547472,3181094,5339020.5,0,2543692.75,4485408,3117031.5,2446095,1742759.75,2213440.25,3236354,4301229,1004138.75,9223748,1209251.5,2483469.75,2711217.5,2755363.5,2378213,2725236.75,2808711.25,3032221.25,0,10344415,2209069.75,2605204.25,98637720,17388490,2325831.5,2022102,1572238.375,2500030.75,3385582.75,2055301.375,3584693.75,6531415,0,5959892,4554988.5,2923059,2726599.75,2532809.25,11140219
n80,17206965.36,130425704,8723448,5392482.5,2975306.5,2856598.25,2266073.75,2185454.5,6380531,3551414.75,5089270,4362094.5,2502774.25,3285089.5,2899270.5,4689681.5,3002398.5,1390810.25,2026019,1790927.375,3035887.25,3628278.75,2085541.125,7778811,1747218.75,2627002.25,2687475.75,2772005.75,1928816.5,2425767.25,2552770,2939838.5,0,5696935,2264999.5,2218258.5,78049912,13453746,2408773.5,2032382.5,0,2624786.75,3287718,2040475.75,3941516.75,7165111,0,7029810,5406671.5,2864202.75,2880440.75,0,13530974
n81,15566910,85852824,7691232,4777155.5,3003111.5,2833054.5,1804978.875,2283808.25,6133615,3579617,8172803,0,5622603,3290470.75,2707719.75,3969989.25,3323964,3366913.5,2094826.75,2096771.375,3422837.75,4454553,1769907.75,7934291,1498134.25,2512310.5,2662060.5,2772502.75,2660858.5,2738886.75,2544548.25,0,2409876.5,4553562,2420228,2472573.25,101696496,18375038,2625186.75,1931624.5,0,2459120,9549414,1965577.25,4086508.75,0,7968364.5,7193456.5,4740144,2813074.75,2857739.75,2112466.25,10346182
n84,16591877,99158640,11472006,5315287,2794837.75,3072193.25,1868203.625,2075941,1852801.75,3621674,24565652.15,3850285.448,0,3850285.448,2726588.5,5215325,3236396,2626594,1780146.375,1497784.75,3867733,4984076.5,1802918.625,9419197,1991197.875,3078639.5,2354633,2945897.75,1686301.5,2896575.25,2502233.5,2667560,0,8051337.5,2345022,2592811.75,121462768,22207934,2663405.25,2116504,0,2413384.25,8338143,1898773.625,3440565.5,0,7033762.5,5395105,4493831.5,1773431.5,2795162,50842.92969,6454516.5
n86,15716028,83606336,10961897,6849007,2729943.75,2919610.25,1894377,2253006,9046634,3685034,4170032.5,4830634.229,2653324.993,4658039.985,3886997.5,6523980.5,1445165.25,986398.9375,1995023.625,1844449.125,4272044,5900657,1763713,10036420,1682271,3339983.75,3189751,3174526.5,1674507.5,3250732.25,2594437.25,3375306.25,0,7810697.5,1565976.875,2803009.5,119584848,22650414,2846556,2037199.5,2283414.25,0,7601747.5,1917717.25,4775388.5,0,6729305.5,4128451.5,4239638,3321214.75,2902210.5,0,9523683
n9,16542543.81,105301680,10525656,5049362,2883169.75,2840906,2035147.75,2166182.5,6414206,3618801,24905638,0,3709263.5,5014368,2905384.25,5255609.5,3303017.25,1133983,2141845.5,2189466,3340134.5,4380544,2159663,7500462.5,254092.9688,2863057.5,2553805,2856247,2253078.5,3146026.75,2111326,0,2815067.75,7916985,4081983.5,2384857.75,132327240,23575460,2715462.5,2280079.25,1358253.5,0,7085658,2084282.25,4406657,0,5887553,3926359,4054583,2904310.75,2872279.25,2299646.25,9685503
n92,15439060,113591000,9706948,4049339,2798337.5,2877112,1976113.75,1980034.75,6489990,3734495.75,16143833,0,5357101.5,0,2857061,4605338,3163353,3289701,1794637.625,2092472.875,3452630.5,3850833.25,797837.375,7073817,1764728.125,2644733.5,2768670.25,2822351.25,2379849,2399412.75,2473504.5,3536610.75,0,7954613,1611127.125,2735857.25,168559232,33208282,2540669.25,2483799,1894972.5,2309925,6689396.5,2198535.75,3104390.25,5299103,0,4740446,4121682.25,2961404.5,2672136,3005847.75,11197654
n97,14325176,106901616,9306407,4142843.5,3078481.5,2818843,2144408.75,2363766.5,7171088.5,3516521.5,21789236,3975905.75,0,6499094.5,3205257.25,6049418,1509965.875,2538708.75,1691727.625,1593601.625,3118996.25,3918157.25,1908663.25,8464071,2039228.375,2558270.5,2750838.25,2661411.5,1488011,1904610,2674313.25,0,3742128.25,2865997.75,2337461.75,2795455,138628304,25346496,2522296.75,2332684.75,1899244.125,2480517.75,10158579,2138644,3839848.75,0,7216434,6863375,5899325,2454639,3055176.75,2274696.5,13581419
x100,16390232.04,106017576,6797742.5,5433693,2757898.5,2980044.25,1881337.375,2395157.25,4986444.5,3819839,6334904.5,0,6052412,1854688.125,2476162.75,3707643.75,72959.89063,1617455.25,1769814.75,2349145.25,3343975.75,3986162.25,1207715.375,5453012.5,2829363.25,2914306.5,2307472.5,2806911.25,2084993.125,3090602.5,2956995,0,2474446.5,5987675,1571282.75,2353275,74780920,12821163,2268578,1757363.125,0,2451748,7814708,1902531.125,2757292,0,6871394,5562510,3985735.25,2835235.75,8347836.5,6046598,9953707
x105,18149226.3,105811496,5491963,3500591,2914848,2666228,2438151.75,4679168,5403715,3097302.75,3322461,0,3286635,6043937,2342660,3389334.25,95854.38281,3143035.5,1189265.125,5005091,3348894.75,3773776.5,1859595.375,7277179,974864.5625,2440453,2168641.5,2727660.25,2304054,2611775.25,2502490.25,0,2930372.75,7245478,1969730.875,2313206.5,65112644,11443534,2274399.25,1660372.125,0,2680390.25,7715335.5,2051104.625,4928046,0,7773025,8138109.5,4654083.5,2863586.5,7733202,5470272,12911569
x106,13803924,42447048,4518679,4560602,2712926.25,2740437.5,1749604.125,5364253,5061866.841,2898345.012,8327600,5175960,0,3348418.5,2464712.5,3328867,146617.9531,1782387.375,1941688.75,1612912,3588803,4020906.5,2579223.25,6893659.5,766857.0625,2625342.75,2115667.75,2633592.25,2239656.5,2816557.25,2170419.75,0,2429416,7559646.5,2356153,2375746,59246212,10520750,2043642.25,1633357.875,0,1737359,9611827,1742625.875,2485415.5,0,8753146,9483125,4855516.5,2976989.75,7991804.5,5581842.5,9716363
x111,17553542.33,27490032,8342648.5,4197684,2969276.25,2765050.25,2478439.75,2078742.5,5415475.5,3556787.75,10028073.42,0,3289172.574,4205520.012,2475834.75,4366584,2149923.5,6.36E+13,2215319.75,2129560,3248620.5,3744225,1641067.625,7257116,1595923.25,2870817.5,2739293.75,2698425.75,2169133.5,2969725,2453996.75,0,2487586.5,5814024.5,2272393.25,2345188.5,65152724,11156522,2218756,1694844.25,0,0,6953828,1926989.25,3245010,0,5864233,4107528.25,4319133,2749226,7615691.5,5555513.5,11363232
x128-2,13218358,29107480,9481305,4703031.5,3125711,2644329.25,2007508.25,1599296.5,4258489.5,3037072.25,7347003.5,0,3925250.915,3758511.555,2272924.75,4806990,2553905,3230576.75,1542363.375,2337407.25,3815489.5,3069304.75,1892576.125,7982541,2055641.625,2239221.5,2377674,2372926.5,2062861.5,2071163.125,2685286.25,0,2817025.5,1667464.875,2146284.5,2429357.5,60948772,10710664,2065051.625,1632040.625,0,2587199,7349310,1952968.5,3350990.75,0,5375688,4122782.5,4123150.75,3059326,6445186,4774453,13190647
x13,15595843.37,102847472,5699633.5,4329390,2631565,2725368.25,1818739,2426153,4415054,3526984,19809994,0,5142051,2976715.25,2384473,3395821.5,142450.1719,997410.75,1712132,2033280.625,3057028.5,3615478,1384391.75,4208994.5,1605241,2615616.5,2256201.25,2682657.25,2410529.25,2193028,2360734.5,0,2423522,6980863.5,2210933.25,2099758.5,46922324,8149250,2201445,2327012.25,0,2735943,8716519,1840130.375,3886898.25,0,7730412,5788646,4528329.5,2575163.75,6888989,4975238,9152403
x133,19856601.26,23238022,10674922,3785333.5,3910707,2914080.75,2228352.25,2541082,5514006,3666088.25,9048542,0,6905796,2864056.75,2394438,4918090.5,2.71E+12,1470903.5,2184896.5,1544205.625,3005277.5,4967456,1570194.5,7817168,1600154.875,2716112,2850575,3006770.25,2159268,3128043,2294494,0,2509517.5,2427039.5,2014631.75,2682836.75,131036040,23392210,2903310,2306972.75,1707864.25,2465200,7453572.5,1793483.125,2316072.75,0,5018983,4490931,4079474,2578239.25,8849454,6325887.5,16461835
x137,13637838,60935652,7919936,4680760,3060024.25,2812744.25,2220756.25,1529488,5445287,3332078.75,37170704,3499446.5,0,5692561.5,2597536.75,4122707,2296487,2710396.25,1875552.25,2438837.5,3220274.25,4059114.5,2065685.625,7199036.5,1841966.375,2705619.5,2747273.5,2688305,2740723.5,2955815.5,2675375,0,2325925.25,6026048,1516250.75,2384570.75,56453772,9918905,2356538.25,2089936.625,0,2858070,9366109,1819651,3195421,0,5717597,5366565.5,4402326.5,2848354.5,8080630.5,5734768,8778184
x138,12718988,106299888,6822847,4343308,2857436,2670134.25,1946498.875,2479595.5,4438243.5,3006314,4855423,0,7114385,2402399.75,2318015.75,4950927.5,1944395.625,3164828.25,2327707.75,2101839.5,3267259.5,3500409.5,1532134.5,6272584.5,1872750.75,2928242,2258054.5,2638351.25,2290539.25,2010785.875,2503473,0,3804982.5,10487122,1794916.375,2038187.875,44624848,7978463,2116722.75,1623069.125,0,2683896.5,7865148,1885471.5,4085873.5,0,7072593.5,7434652,4290205.5,2658003.25,7009866.5,5236757,11734263
x14,15434268,71198312,8320020,3816817.5,3158080.5,2829465.5,1718694,2174293,4390324,3562156.5,11548953.22,4480482.893,3437203.674,0,2549893,3403352.5,711588.625,992565.6875,1612501.75,1672445.375,2955978.25,3746579.75,1710555.125,5831642.5,1644852.375,2474404,2625558.75,2648091.75,3875256.25,2510602,2711657.75,0,2736704.75,4972078.5,2325040.5,2606240,84720688,15176162,2188199.25,1883955.5,0,2559175.75,8994942,1954403,4420403,0,5917158,5702994,4492834,2856171.25,8101412,5743475,11116123
x142,12422026,42817496,7672512,3789457.25,3294164.5,2845680,1943323.5,2438432.75,5330852.5,3040002.25,39198792,3362747.5,0,1257093.125,2783535.5,4203909,1448978.375,2324269.75,2745812.25,2374899.75,2884409.25,3749572.25,2938736,6719308,1273731.125,2582233.25,2796889.25,2717487.25,2362817.75,1984012.375,2586492.75,0,3371084.25,1629754.75,2066025,3844130.75,58638296,38131724,2519413,2839388,2224987,2585381.5,8255630,2154345,4692235.5,0,6387354,6037741.5,4240840.5,2909676.75,7448677,5257730,11477373
x143,16217618,108833168,5830435,3667760.5,2995357.5,2695927.25,2409285.25,1964675.625,4484892,3334479.25,6706133,0,4579989.249,3022739.821,2370257.5,4233818.5,935197.4375,1169781.5,1691273,1995036.625,3179343.25,4133266.5,1889055.375,5945816.5,4287932.5,2735802.75,2812096.5,2641530,2259039.5,2932777.5,1865514,0,2488176.75,3760424.25,2484795.75,2688854.25,67295768,11646685,2249693.25,1742452.125,0,2745115.25,7709131.5,1799404.5,2210281,0,6021563.5,5012841,3931524.75,1821437,7632263.5,5538810,10678295
x146,13907528,107488264,7256959,3720733.25,2539137.75,2798731.25,1932166.75,1670913,4273968,3469525,21575024.83,0,5686868,1975233.125,2428170.5,3405666,3106329.5,2757680.5,2094189.25,1750596,2699246.25,3273912.5,1470564.125,6196483.5,1529307,2132474.25,2311491.25,2368980.5,2187912.75,1845329.75,0,0,3109214.25,7402551.5,1512721.375,2188586.5,64663016,11035006,1982692.125,1764006.625,0,2343536.5,7823834,2088003,3550878.75,0,6143656,5697855.5,4565452.5,1750740,7909049.5,5841721.5,12251108
x148,12990363,113842624,7385393,4299626,3301587.75,2850295.5,2320954.5,2205144.5,4158109.5,3099841.25,3676826.944,3514166.25,0,6397884,2493572.75,4239727,49990.54688,1417336.375,2104324.5,2325453.5,3067077,3987930.5,2763839,7967944,1632746.25,2959773.75,2770217.5,3096400.5,2182810.75,3096944.25,2681761.25,0,3112475.25,5386705.5,1626986.75,2698149,112091128,21606514,2515010,2235146.75,0,2667074.5,9968977,2238877.25,3357846,0,8346009.5,8144996,4767311,2042793,6570123.5,4855366,14899175
x15,15177779,134936208,8446632,4169288.25,2525353,2974217,2241213.25,2440288,5927812,3434943.75,785259.125,3465717.5,0,5182103,2865671,5416311.5,1580473.625,996878.125,1816323.375,2261615.25,3457578.5,4809246.5,2175894.5,6964490.5,1861019.5,2302842.5,2318970.25,2593806.5,2193014.75,2066688.625,0,3455126.5,0,6113518,1622114.5,2594166.5,94924808,16414433,2181600.75,1947170.25,0,0,7880160,2030798,3171977.25,0,6542103,4940460,4713062,2846886,6398453,4774804,10777832
x150,5986169.5,124078808,4597235.5,3022408.5,3858117,2743740.25,2069136.625,5027914,5509056,3122271.25,23038744,3628886.5,4232424,0,2520587.75,2795427,976433.5,3149328,2085456.75,2565943.5,2651904.75,3020853.25,2084994,5099432.5,2893771.25,1686013.25,2346325.75,2596744.25,0,2034191.875,0,2188304.5,0,5189468,1999106.625,1914857.125,18557584,4253640,2178990,0,0,2645295.5,9490627,1929749.625,1893785.125,5779993,0,7219057.5,4556419,1944273.25,6052323,4591738.5,9554066
x152,16242354.26,90490136,7020911,4417759,3954379.25,2712423.5,2050997.25,3088941,9041937,3474249,3636113.5,0,8999780,2113170.75,4418676.5,4749127,100775.4219,3095343,1695376,1989950.375,3319424.25,4415073,1897822.5,7005390,1622690.625,2973243.25,2038107.125,2781938.5,2016035.375,3782994.5,0,0,2537272.25,4284932.5,2439480.75,2543405.75,69051208,12250885,2318210.25,1802564.875,0,2436036.5,7929790.5,1634246,2076298.25,0,5242582,5775943.5,3835830,2956607,5127256,3923179.75,8319210
x153,12052166,81863312,6412852,4926086.5,2865798,2868797.25,1861203.75,2206866,7047888.5,3046861,34454984,3071305.5,0,668959.5625,2222512.25,6117251,618231.8125,1079901.375,2321502.5,1470061.5,3332876,5064217.5,2674911,4568109.5,2590461.75,2964832.25,2727480,2592933.75,2520869,2729923.75,2668214.75,0,2665955,5479631.5,2205756.25,2266354,61795092,11116223,2169770,1852409.375,0,2403893.5,4814034,2098375,2066092,3975410.5,0,3623333,2672229,2868066.5,6566429.5,4824593.5,10297383
x157,15076803,136113776,8812606,4414138,2904044.75,2810920,2141517.25,2131026,5610303,3513450.5,6518633.5,3206205.003,4877030.424,0,2426371,3987707.75,827447.375,966588.75,1869455.125,2147459,3340277.25,3814536,1855883.75,6428525,1862898.875,2850907.5,2910329.75,2648807.75,2552602.75,2931422.25,2530856,2337885,0,6809273.5,2504024.75,2389462.25,69323064,11726677,2300567,1905881,0,2498237.5,8724748,1910175.375,4666978,0,6499625,6727903.5,4420575,2647571,6548516,4841663.5,10324298
x159,10972026,89749032,4316850,3079721.5,3296965.75,2756120.5,1674371.625,2703292.5,3532477.5,2910939.25,36801952,0,2401155.75,5464858.5,2386422.5,2333067.25,2895709.25,3373091.5,1840902.375,1481299.875,2636636.75,3051561.5,1835585,6215591.5,827783.125,1823332.375,2297928,2120991.5,2351711,1791627.875,0,0,2318959.5,3646311.5,2346100.5,2584847,55838440,9836367,2016901.75,1739560.25,0,2661509.25,7784969.5,1753315.5,2139049,0,5163552,6441562,4628777,2755619,7586806,5366664,13968952
x17,17527952,148598400,7599138,3925900,2703671.5,2821748.5,2505035.75,2031564.75,6195133,3678900,24984164,0,9263536,0,2755430.25,4673452,3531183,3102867.75,1833289.75,1412356.375,3120865.25,3490515,1386569.625,7441364,2896647.75,2597785.5,2618956.75,2916526.5,1902613.625,2445451,2221927,0,2623108.75,7667914.5,2462908.5,2143273.75,55111892,9287795,2431943,1743372.375,0,0,9581244,1956483.875,5119014,0,7503908,5687709,5325699.5,1853403.5,8082389,5863610.5,12500915
x171,6370886,91622640,8881461,4198704.5,3241806,2927224,2492739.842,2557430,6114008.5,3481541.75,11241514,3819322.5,0,15254837,2537477.25,3644802,139159.8281,1117801.5,2070469.125,2206042.25,2760153.5,3635523.25,604661.6875,6230723.5,2164787.75,2833230.5,2144028,2845041,1539006.875,2917848.5,0,3875461,0,4104781.75,2182021.25,2577851,113349704,21156704,2361026.75,2013473,1530132.875,2310658,7669063.5,1942649.75,3113422,6377093,0,5818134,4673036.5,2786240.25,5964822,4580215,11516277
x175,14428206,65935012,4545696,3980695,4163035,2897051.75,2078697.125,13249654,4481535,3517318,23021936,3255869.25,0,4943031,2494861,2876726.75,3169730.75,2349490,1654143.25,2318415.25,3153392,3539721.75,2104269,6336319.5,1736964.625,1824817.25,2704373.5,2365170,2057950.25,2164445,2739238.75,0,2474584.75,2972359.5,2309007.5,3227015.5,89141224,15713362,2030888.125,1940295,1788125.375,2706275.5,8765069,1765472.5,1779492.5,0,6033951,8394286,3902263.25,3114709.5,5887783,4435014,9574930
x177,20146677.94,88961176,9915173,4093305,2831567,2858449.75,2611868.5,1965217.25,5726595,3612089,9437696,3500572,0,5196479.5,2581078,3498487,2450680.25,1038067.625,623480.875,5616233,3509418.75,4095032.25,2755018.75,7425819,5522116.5,2775720.5,1914974,2872051.75,2007968.625,3401821.25,2804645.5,0,2519817.75,7315438,2252336.5,2507522.75,116302120,21178504,2551647.75,2108675.75,0,2375259.75,8244178,1645812.25,2097417.5,0,6347518,5160516.5,5045855.5,2942417.5,7693696.5,5553027,12581772
x18,15034787,128686152,8288598,4158221.25,2758640,2806501,2003852.75,2151937.5,5024996,3369224,23857852.86,5949850,0,2441157.5,2358104.75,4031501.25,3200708.75,1312847,2109390,2236529.5,2799434.5,3803370.5,2077495.5,4991035,1617089.125,2404799.5,2425442.5,2621342.5,2439119,2183156.5,2210991.5,0,3003009.5,6243649,1768762,2392900.25,103593752,18742894,2181292,2094444.5,1940492,2273001.75,9106041,2023488.25,4042268,0,7393925,5428395.5,4864579,2782224.75,7836473,5692016.5,11734412
x185,19389200,97699432,6091042,3909730.25,2854117,2872684.5,2877999,4520176,5698972.5,3956823,20802091.21,0,4371368.998,3964397.475,2658137.75,4043871.75,67374.45313,3136496.25,2102315,1513256.375,3157231.5,3620227.75,2059339.125,7716489.5,1609191.375,2648504.75,2699407,2923083,1753247.375,2395737.25,1789028.875,3046384.25,0,2516119,2270609.25,4340261.5,206444096,41483020,2610795.75,2848412.75,2031758.125,2280689,7812765.5,2458192.5,4451281.5,0,7008351,8823894,4489125,2738460.5,8589327,6294402,13857432
x186,13990664,79919448,6842331,5025796.5,2529727,2724993.25,1893852.125,1988134.25,4793928,3322810.75,18044492,0,3017666.5,4852974,2365898.75,3324569.75,3159131.25,2935495.75,1722600.75,2355406,3078045,3617117.25,2191089.5,7808320,2088917.25,2383896.5,2608598,2624842.5,2585028.25,2643418.75,2665015,0,2367936.25,5012481.5,1721961.25,2302641.25,74027168,13196190,2093646.875,1667260.25,0,2318793,7782212.5,2066106.5,2632219.25,0,5367266.5,6163676,4382832,3076756.75,5844178,4394884,10259496
x187,17638011.02,93298792,9369376,4071714.25,3261727,2820539.5,2093018.875,2460912.75,6352416.5,3592346,9730910,3658529.75,0,6716088,2782974.5,4543912,1220979.625,2845268.5,2002386.875,1843163.75,2793013.75,4222102,1913745.375,7223630,1712185.375,2689038,2343582,2912634.75,2520791.25,2956926,2570162.75,3350656.25,0,6106071.5,2222167.25,2733366.5,136080944,25290842,2518315.25,2230045.25,1737258.5,2653010,9397489,2265412.75,6423594.5,0,7560843,7037488.5,5446227.5,2784954.75,8512098,6153223.5,13257096
x188,15717120.18,94596144,9228466,4948595,2840091,2695771,1842374.25,1978911.25,5566789,3428124.5,12256731,3437052.25,0,4318465.5,2590273.75,6628217,928812.5,2404914.5,1815416.25,2211846,3084824.75,3526434.75,1589998.875,7859692,1922396.875,2648408.5,2589316.5,2621646.75,1113791.5,2316051.5,2435185.75,0,2374848,3635153.75,2216141.5,2295304,86916040,15646436,2075898.625,1963187.25,0,2412975,6878563,1850559.125,3794075.25,0,5094261,3824389.5,4354439,1675607.75,8218604,5965582.5,11019606
x189,12975124,91001440,6451802,3964037.25,3312848.5,2901171,1785256,2908071.5,5524122,3113414.25,5521660.5,0,3194532.75,5894207.5,2561611.5,4308540.5,1489426.75,1003203.5,1498420,2357820,3210434.25,3952089.75,1481674.75,6329296.5,142981.2031,1802896.375,2110196.5,2655689.25,2281941.25,2278245.25,2230174.75,0,3123705.25,6639793.5,2262611.5,2309740,76716112,13217339,2313923.25,1944420.75,0,2459532,8147683.5,1993044.625,3805087.25,0,6900759,6207126,4543338.5,2039313.5,2817328.5,0,13002195
x190,10850580,88344632,10698570,4946582,2746386.25,2631711.75,1901361,1991831.25,4500184,2877275.5,7359926,0,0,7518182.5,2360749.25,4237965,3328392.25,3434001,1647885.875,2125947.5,3011956,3308733.25,717703.625,7812150,1196980,1261491.375,2426526,2064013.25,2412168.25,2199047.75,1673410,0,3257187.5,4155797.75,2861617.25,2092579,71004272,11972645,1928508.125,1853040,0,2305846.75,7792369,1860574,3679879.25,0,5841202.5,5496889,4152245,1664282,7201321,5205674,9243472
x194,18146963.78,113979648,6451012.5,3905750.5,3143037.5,2874249.25,1923390,2518380,6738269,3685566.5,25256311.7,3895559.944,7499478.051,0,2762046.75,4660704.5,3156781.25,3091227.5,1963004,1856942.375,2706940.75,3506281.25,2724638.5,7874785.5,1981014,2711881.5,2829913.5,2818301.5,3665262.75,2555778,2564971.75,2959218.25,0,6744843.5,2540622.25,2582797,96426416,16689021,2464140.25,2087257.5,1885868,2741427,8617919,2084159.875,5695090.5,7943532.5,0,6172692,5311287,2882761,8483916,6273311,17427242
x195,15249905,58794504,5871669,4845116,2805040.75,2866184.75,1898116.625,4684054,4485895,3401803.75,16305300,3021203.285,4061679.262,2285046.118,2483579.25,5028872,2700563.25,896512.8125,1737936.5,1678847.375,2927426.75,3502621.25,1342340,6668075,1529484.25,2341959.25,2172161.75,2830899,3477571.25,2644382.75,0,0,2254223,6059111.5,2169204,2709470.25,107845184,19567010,2429210,2027602.5,0,2582701.25,8171746,1941617,3390611,0,6439695.5,6598199.5,4413456.5,2826848,5454800.5,4256883,10817681
x196,20496966.23,91400112,5116040,4364308,3331813.25,2779846.75,2553896.25,8634330,5454503,3592324.5,5652277.5,6761952.5,0,3315022,2735243,3811176,2968326.25,3283426.25,752595.75,5512466,3730340.25,4561777.5,1829203.875,6888305.5,2035197.375,2714464.5,2966151.5,2798918.5,2168512.25,2634346.75,2021092,0,2842647,4986162,2494153.75,2482127,72110760,11969426,2116351.25,1744552.625,0,2199898.75,10403251,1793534.5,3445842.25,0,6933688,10284090,5053047.5,2767144.5,9241892,6416966.5,10387734
